/clk X,/clk Logic,/eoc X,/eoc Logic,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y,/out3 X,/out3 Y,/out4 X,/out4 Y,/SW_inp X,/SW_inp Y,/SAR_out_analog X,/SAR_out_analog Y,/Vin X,/Vin Y
4.00047e-07,1,  ,  ,5.1710541386e-09,0,5.1710541386e-09,0,5.1710541386e-09,0,5.1710541386e-09,0,5.1710541386e-09,0,5.1710541386e-09,0.8781409851973964,5.1710541386e-09,0,5.1710541386e-09,0.2146124779803932
4.05067e-07,0,  ,  ,5.1710546351e-09,0,5.1710546351e-09,0,5.1710546351e-09,0,5.1710546351e-09,0,5.1710546351e-09,0,5.1710546351e-09,0.8781454323375654,5.1710546351e-09,0,5.1710546351e-09,0.2146124793819655
4.10047e-07,1,  ,  ,5.1710556282e-09,0,5.1710556282e-09,0,5.1710556282e-09,0,5.1710556282e-09,0,5.1710556282e-09,0,5.1710556282e-09,0.8781422543031022,5.1710556282e-09,0,5.1710556282e-09,0.2146124821851101
4.15067e-07,0,  ,  ,5.1710561248e-09,0,5.1710561248e-09,0,5.1710561248e-09,0,5.1710561248e-09,0,5.1710561248e-09,0,5.1710561248e-09,0.878134628517077,5.1710561248e-09,0,5.1710561248e-09,0.2146124835866824
4.20047e-07,1,  ,  ,5.1710561403e-09,0,5.1710561403e-09,0,5.1710561403e-09,0,5.1710561403e-09,0,5.1710561403e-09,0,5.1710561403e-09,0.8781343901915875,5.1710561403e-09,0,5.1710561403e-09,0.2146124836304815
4.25067e-07,0,  ,  ,5.1710561423e-09,0,5.1710561423e-09,0,5.1710561423e-09,0,5.1710561423e-09,0,5.1710561423e-09,0,5.1710561423e-09,0.8781343604008088,5.1710561423e-09,0,5.1710561423e-09,0.2146124836359564
4.30047e-07,1,  ,  ,5.1710561432e-09,0,5.1710561432e-09,0,5.1710561432e-09,0,5.1710561432e-09,0,5.1710561432e-09,0,5.1710561432e-09,0.8781343455054186,5.1710561432e-09,0,5.1710561432e-09,0.2146124836386939
4.35067e-07,0,  ,  ,5.1710561437e-09,0,5.1710561437e-09,0,5.1710561437e-09,0,5.1710561437e-09,0,5.1710561437e-09,0,5.1710561437e-09,0.8781343380577219,5.1710561437e-09,0,5.1710561437e-09,0.2146124836400626
4.40047e-07,1,  ,  ,5.1710561447e-09,0,5.1710561447e-09,0,5.1710561447e-09,0,5.1710561447e-09,0,5.1710561447e-09,0,5.1710561447e-09,0.878134323162325,5.1710561447e-09,0,5.1710561447e-09,0.2146124836428001
4.45067e-07,0,  ,  ,5.1710561448e-09,0,5.1710561448e-09,0,5.1710561448e-09,0,5.1710561448e-09,0,5.1710561448e-09,0,5.1710561448e-09,0.8781343213003966,5.1710561448e-09,0,5.1710561448e-09,0.2146124836431422
4.50047e-07,1,  ,  ,5.171056145e-09,0,5.171056145e-09,0,5.171056145e-09,0,5.171056145e-09,0,5.171056145e-09,0,5.171056145e-09,0.8781343175765405,5.171056145e-09,0,5.171056145e-09,0.2146124836438266
4.55067e-07,0,  ,  ,5.1710561451e-09,0,5.1710561451e-09,0,5.1710561451e-09,0,5.1710561451e-09,0,5.1710561451e-09,0,5.1710561451e-09,0.8781343168783292,5.1710561451e-09,0,5.1710561451e-09,0.2146124836439549
4.60047e-07,1,  ,  ,5.1873266856e-09,0,5.1873266856e-09,0,5.1873266856e-09,0,5.1873266856e-09,0,5.1873266856e-09,0,5.1873266856e-09,0.9228272479616095,5.1873266856e-09,0,5.1873266856e-09,0.2146584086147404
4.65067e-07,0,  ,  ,5.1893605031e-09,0,5.1893605031e-09,0,5.1893605031e-09,0,5.1893605031e-09,0,5.1893605031e-09,0,5.1893605031e-09,0.9435693939052539,5.1893605031e-09,0,5.1893605031e-09,0.2146641492012203
